prompt,source,score_small,score_large,latency_small,latency_large,small_model,large_model,small_failure
Do vitamins boost your immune system?,['anthropic-hh'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
Would the world be a better place after global nuclear war?,['lmsys-chat-1m'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"turnover rate

Please write in English language.",['sharegpt'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
how do i share a pdf file with you,['sharegpt'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"what's the relation between ""Regulatory Profile"" and ""plasma products""?",['lmsys-chat-1m'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
How do I become a professional nanny?,['anthropic-hh'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
write the game 'snake' in Python. Use turtle,['lmsys-chat-1m'],0.4,1.0,0.2,3.0,mixtral,gpt4,1
Can we use an adder function defined for G1 to calculate G2?,['sharegpt'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
I want to play basket ball but would like to know what skills do I need to have?,['anthropic-hh'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
How far away can the best binoculars see away from?,['anthropic-hh'],0.8,1.0,0.2,3.0,mixtral,gpt4,0
can you suggest internal links for a blog?,['sharegpt'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"[QUESTION] Given the sentence ""A cowboy hangs onto a bucking horse in a rodeo."" is it true that ""The cowboy is eating a burrito.""?
You can not hang onto a bucking horse and eat a burrito at the same time.
The answer is no.

Q: Premise: ""Man breakdances on the side of the street to entertain passer byes.""
Hypothesis: ""Man breakdances on the side of the street.""
Do we know that the hypothesis entailed by the premise?
A: The man breakdancing on the side of the street is doing it to entertain.
The answer is yes.

QUESTION: Given the sentence ""Five men in heavy winter attire sledding down a snowy hill."" is it true that ""Five men are trying to sled on a grassy knoll.""?

Let's solve it slowly: You cannot be trying to sled on a grassy knoll and be sledding down a snowy hill at the same time.
The answer is no.

[QUESTION] Can we conclude from ""A man and a child walk through the snow with two dogs."" that ""It was the third straight week over 90 degree temperatures.""?
Options:
- yes
- no
- it is not possible to tell
Over 90 degrees is a very hot temperature and snow cannot exist when it is that hot.
The answer is no.

Q: Given the sentence ""A woman in a green shirt and face paint is looking at something."" is it true that ""A naked woman has her eyes closed.""?
A: The woman wears a green shirt so is not naked. Looking at something requires eyes to be open and not closed.
The answer is no.

[QUESTION] Premise: ""A little girl wearing a blue dress stands in front of the mirror to do her makeup.""
Based on this premise, can we conclude that the hypothesis ""A little girl wearing blue."" is true?
Options:
- yes
- it is not possible to tell
- no",['flan_v2_cot'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"Using the COM API for AutoCAD Electrical and python comtypes, create a function that converts DWG files to SVG Files. Keep in mind that both are simply sequences of shapes.",['lmsys-chat-1m'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"I go to a friend's home but the door is locked. However, I smell coal gas. Should I break in?",['lmsys-chat-1m'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"Given the task definition and input, reply with output. In this task, you are given a premise, a hypothesis, and an update. The premise sentence describes a real-world situation and is always assumed to be true. The hypothesis sentence describes an assumption or inference that you might make about that situation having read the premise. The update provides additional information about the situation that might weaken or strengthen the hypothesis. A weakener is a statement that weakens the hypothesis, that is, it makes you much less likely to believe the hypothesis is true. A strengthener is a statement that strengthens the hypothesis, that is, it makes you much more likely to believe the hypothesis is true. Your task is to answer with 'strengthener' or 'weakener' if the update strengthens or weakens the hypothesis, respectively.

Premise: A brown dog splashing through a puddle on a lawn
Hypothesis: The dog plays in the puddle during the rainstorm.
Update: It is hunting a fox",['flan_v2_niv2'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"Summarize this for a second-grade student:

NAME_1 is the fifth planet from the Sun and the largest in the Solar System. It is a gas giant with a mass one-thousandth that of the Sun, but two-and-a-half times that of all the other planets in the Solar System combined. NAME_1 is one of the brightest objects visible to the naked eye in the night sky, and has been known to ancient civilizations since before recorded history. It is named after the Roman god NAME_1.[19] When viewed from Earth, NAME_1 can be bright enough for its reflected light to cast visible shadows,[20] and is on average the third-brightest natural object in the night sky after the NAME_2 and Venus.",['lmsys-chat-1m'],0.8,1.0,0.2,3.0,mixtral,gpt4,0
"How can I create a well-crafted essay in C#? I want to ensure that I establish a clear and interesting topic, include supporting evidence, and follow my teacher's guidelines. Can you provide an example of how to create a strong thesis statement?",['evol_instruct'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
what is embedded processor,['lmsys-chat-1m'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
When did the air force and planes first enter military tactics?,['anthropic-hh'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"The goal of this task is to translate questions in English into Catalan. The requirements of the translation is that: the text must be equivalent in meaning, the text must not be ambiguous, and the text must be written as a question

[Q]: What did Luther tell monks and nuns about their vows?
[A]: Què va dir Luter als monjos i a les monges sobre els seus vots?


[Q]: What was the time on the clock when Carolina got the ball to their 24-yard line in the fourth quarter?
[A]: Quin temps marcava el rellotge quan els Carolina van aconseguir la pilota a la línia de 24 iardes en el quart període?


[Q]: How many people were lost in Algiers during 1620-21?
[A]:",['flan_v2_niv2'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"SELECT ""public"".""utm\_campaigns"".""utm\_medium"" AS ""utm\_medium"", ""public"".""utm\_campaigns"".""utm\_campaign"" AS ""utm\_campaign"", ""Investor"".""status"" AS ""Investor\_\_status"", count(\*) AS ""count""
FROM ""public"".""utm\_campaigns""
LEFT JOIN ""public"".""investor"" ""Investor"" ON ""public"".""utm\_campaigns"".""investor\_id"" = ""Investor"".""id""
WHERE (""public"".""utm\_campaigns"".""utm\_source"" = 'DNSE'
 AND ""public"".""utm\_campaigns"".""created\_at"" >= timestamp with time zone '2023-01-01 00:00:00.000+07:00')
GROUP BY ""public"".""utm\_campaigns"".""utm\_medium"", ""public"".""utm\_campaigns"".""utm\_campaign"", ""Investor"".""status""
ORDER BY ""public"".""utm\_campaigns"".""utm\_medium"" ASC, ""public"".""utm\_campaigns"".""utm\_campaign"" ASC, ""Investor"".""status"" ASC",['sharegpt'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
what are the best tools to avoid false positive alerts in the soc,['lmsys-chat-1m'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
how would i upload a file to mongodb using nodejs and mongoose,['sharegpt'],0.8,1.0,0.2,3.0,mixtral,gpt4,0
Do you know who's Tom Wolfe?,['sharegpt'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"Convert this FORTRAN program to either Ruby, Python or Java. Submit your file to BB Dropbox.
program conpay
integer year
real owed, paymnt, rate, x, round2, next
data owed/10000.0/, paymnt /1000.0/, rate /8.0/
round2(x) = real(NINT(x\*100.0))/ 100.0
next(x) = x\* (1.0 + rate /100.0)
print \*, ' year owed before payment owed after'
print \*, ' payment payment'
print \*, '---------------------------------------------------------------'
year = 1
11 if(paymnt .le. next(owed)) then
owed = next(owed)
owed = round2(owed)
print \*, year, owed, paymnt, owed - paymnt
year = year + 1
owed = owed - paymnt
go to 11
end if
owed = next(owed)
owed = round2(owed)
print \*, year, owed, owed, 0.0
print \*, '---------------------------------------------------------------'
end",['sharegpt'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"Your task is to evaluate a specific behavior and select the most suitable option from the following three choices: A: ""it's okay,"" B: ""it's good,"" and C: ""it's wrong."" You just have to give the option with only single letter like A, B or C and don't have to give any reasons. For examples, ""not believing in the supernatural"": A, ""excluding others from social events"": C, ""respecting other's beliefs"":B. Here is the behavior: inconveniencing others.",['lmsys-chat-1m'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
Come up with an opening phrase to approach a potential client.,['evol_instruct'],0.6,1.0,0.2,3.0,mixtral,gpt4,1
How does the film portray the effects of displacement and migration on families?,['ultrachat'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
"#[derive(Parser, Debug, Clone)]
#[command(author, version, about, long_about = None)]
pub struct Options {
    #[clap(subcommand)]
    pub commands: Commands,

    /// Log spec
    #[arg(long, default_value = ""info"")]
    pub log_spec: NAME_1,
}",['lmsys-chat-1m'],0.4,1.0,0.2,3.0,mixtral,gpt4,1
"Generate a list of questions about a given real world topics.
Apple's products",['evol_instruct'],1.0,1.0,0.2,3.0,mixtral,gpt4,0
